flags,instruction,category,response,clean_instruction
L,What is the projected delivery date?,DELIVERY,"The projected delivery date can be checked with your order number. Please provide it, and I'll find the estimated delivery period.",projected delivery date
BS,deliveries to {{Delivery Country}},DELIVERY,"Unquestionably! Let's explore the delivery options available for shipments to {{Delivery Country}}:

1. Standard Shipping: This option typically takes {{Date Range}} business days to arrive in {{Delivery Country}}. It's a reliable choice for non-urgent deliveries.
2. Expedited Shipping: If you need your package to reach {{Delivery Country}} faster, you can opt for expedited shipping. This reduces delivery time to {{Date Range}} business days.
3. International Priority Shipping: For urgent shipments to {{Delivery Country}}, our international priority shipping service guarantees faster delivery within {{Date Range}} business days.
4. In-Store Pickup: If you happen to be near one of our stores in {{Delivery Country}}, you have the convenient option to pick up your package in-person.

These delivery options are designed to cater to your needs and ensure timely and convenient delivery to {{Delivery Country}}. If you have any specific concerns or need further assistance, please feel free to let me know. I'm here to help make your shipping experience smooth and hassle-free!",delivery
BCILP,"I would like to edit purchase {{Order Number}}, how could I do it?",ORDER,"We appreciate you reaching out to us regarding your request to edit purchase number {{Order Number}}. We understand the importance of making adjustments to your purchase and want to assist you in the best way possible. To proceed with editing your purchase, please provide us with more details about the specific changes you would like to make. This will help us ensure that we meet your requirements accurately. Feel free to share the details, and we will guide you through the necessary steps to edit your purchase.",would like edit purchase could
BLQ,i need assistance to track the restitution,REFUND,"I'm conscious of the reality that you're seeking assistance to track the restitution. Rest assured, I'm here to help. To provide you with accurate and up-to-date information, could you please provide me with some details regarding your restitution? Specifically, I would need the {{Order Number}} or any other relevant information that can help us locate your case in our system. Once I have the necessary information, I'll quickly look into it and provide you with the current status. Thank you for your cooperation, and I appreciate your patience.",need assistance track restitution
BLQ,What is going on with the account registration?,ACCOUNT,I'm sorry to hear you're experiencing issues with account registration. I'll help investigate. Could you please describe the problem you're encountering?,going account registration
BILQ,how to know if there is anything new on the reimbursement,REFUND,"To get updates on the progress of your reimbursement, there are a few ways you can stay informed. One option is to check your account regularly for any notifications or updates regarding your reimbursement. Another option is to reach out to our customer support team through our official channels. They will be able to provide you with the latest information and assist you further. Remember, we are here to help and ensure that you are kept up to date on your reimbursement status.",know anything new reimbursement
ILQ,Can you help me add a shipping address?,SHIPPING_ADDRESS,"Absolutely! I can guide you through adding a new shipping address. Please go to your account settings, then to the 'Addresses' section, and click on 'Add New Address'.",help add shipping address
BQI,Can I make my account disappear?,ACCOUNT,I understand you want to make your account disappear. This process is equivalent to deleting your account and is permanent. Are you sure you want to proceed with deleting your account?,make account disappear
BLZ,help recovering my userpassword,ACCOUNT,"Sure! I completely understand your need to recover your user password. Rest assured, I'm here to assist you every step of the way.

To recover your user password, please follow these simple steps:

1. Visit the ""{{Login Page URL}}"" of our platform.
2. Look for the option that says ""{{Forgot Password}}"" and click on it.
3. You will be redirected to a page where you can enter your username or email associated with your account.
4. Once you have entered your username or email, click on the ""Recover Password"" button.
5. An email will be sent to the email address associated with your account, containing instructions on how to reset your password.
6. Follow the instructions in the email to create a new, secure password for your user account.

Please note that if you don't receive the email in your inbox, it's a good idea to check your spam or junk folder, as it may have been filtered there.

If you encounter any difficulties or have any further questions, please don't hesitate to reach out. I'm here to help you regain access to your account and ensure a seamless and secure experience.",help recovering userpassword
BLM,I want help to check what delivery methods you offer,DELIVERY,"Thank you for seeking guidance on our delivery options. I'm here to provide you with the necessary information. Here are the different delivery methods we offer:

1. Standard Shipping: This is our regular shipping option, typically arriving within {{Date Range}} business days. It's suitable for non-urgent items.

2. Expedited Shipping: If you need your items sooner, you can choose our expedited shipping method. It ensures delivery within {{Date Range}} business days.

3. Overnight Shipping: For urgent needs, we offer overnight shipping, guaranteeing next business day delivery.

4. In-Store Pickup: If you prefer a more hands-on approach, you can select in-store pickup. It allows you to personally collect your items from one of our {{Store Location}}.

We understand that choosing the right delivery method is essential, and we're here to assist you further. Please let me know if you have any specific concerns or if there's anything else I can assist you with.",want help check delivery method offer
BLM,Could you please help me find my invoice?,INVOICE,"Of course! To find your invoice, please log in to your account on our website. Go to the 'Billing' or 'Invoice History' section. You'll see a list of your past invoices there. If you still can't locate it, tell me your email address associated with the account.",could please help find invoice
BCELQ,i no longer use the pro account I'm trying to delete it,ACCOUNT,"Thank you for contacting about deleting your {{Account Type}} account. I understand that you no longer use it and would like to proceed with the cancellation. To assist you further, could you please provide me with your account details such as your username or email associated with the {{Account Type}} account? This will enable us to locate your account and initiate the cancellation process accordingly.",longer use pro account im trying delete
BL,Delete account.,ACCOUNT,"To delete your account, go to your account settings and select the 'Delete Account' option. Follow the prompts to confirm.",delete account
BCELQZ,I'm trying to find shpping period help me,DELIVERY,"We acknowledge your need for assistance in finding the shipping period of your order. To provide you with the most accurate information, may I kindly request the {{Order Number}} or {{Tracking Number}}? With this information, we can promptly retrieve the details of your delivery and provide you with an estimated arrival time. Your cooperation is greatly appreciated.",im trying find shpping period help
BL,help me cancelling the {{Account Type}} account,ACCOUNT,"Appreciate your message to us regarding the cancellation of your {{Account Type}} account. I understand that you need assistance with canceling your subscription and I'm here to help you with that. To proceed with the cancellation, I kindly ask you to provide me with some specific details about your account, such as your account username or email address. With this information, I will be able to locate your account and guide you through the cancellation process. Your satisfaction is our priority, and we want to ensure a hassle-free experience for you. Please take a moment to provide the necessary details so that we can promptly assist you with canceling your {{Account Type}} account.",help cancelling account
BL,Cancel my subscription to your emails.,SUBSCRIPTION,You can cancel your subscription to our emails by clicking the 'unsubscribe' link at the bottom of any email we've sent. This will immediately stop future emails.,cancel subscription email
BLN,I can't reset the PIN code of my profile,ACCOUNT,"I understand your frustration and the importance of regaining control over your profile. Let's work together to resolve this issue:

1. First, I want to assure you that we will do everything we can to assist you in resetting your PIN code.
2. Please try the following steps to reset your PIN code:
   a. Go to the ""{{Profile Settings}}"" section of your account.
   b. Look for the ""{{PIN Code}}"" tab or a similar option.
   c. There should be an option like ""{{Reset PIN}}"" or ""{{Forgot PIN}}"". Click on it.
   d. Follow the instructions provided to reset your PIN code. This may involve answering security questions or verifying your identity through an email or SMS code.
3. If you encounter any difficulties or if these steps don't work, please do not hesitate to reach out to our support team. They are available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}.
4. Our dedicated team will assist you further, help troubleshoot any issues, and guide you through the process of resetting your PIN code.

Remember, we are here to support you every step of the way and ensure a smooth resolution to this matter.",cant reset pin code profile
BILQZ,is it possible tomodify order {{Order Number}},ORDER,"We understand that you are requesting to modify order {{Order Number}}. Our team is here to assist you and we'll do our best to accommodate your request. To proceed with the modification, could you please provide us with the details of the changes you would like to make? This will help us ensure that your order is exactly as you want it. Thank you for your cooperation and we look forward to resolving this for you.",possible tomodify order
BMQ,What could be wrong with my payment method?,PAYMENT,"There are a few common reasons why a payment method might encounter issues. Please check if the card number, expiry date, and CVV are entered correctly. Also, ensure that the billing address you've provided matches the one registered with your bank or card provider. If these details are accurate, your bank might have placed a temporary hold or declined the transaction for security reasons. Contacting them directly is often the fastest way to resolve this.",could wrong payment method
BLQ,need to update my address,SHIPPING_ADDRESS,"I'll make it happen! I can assist you in modifying your shipping address. Please follow the steps below to update it:

1. Log in to your account on our website.
2. Navigate to the ""My Account"" or ""Settings"" section.
3. Find the option to edit your shipping address and click on it.
4. Enter the new address details accurately.
5. Save the changes.
6. Double-check the updated address to ensure its correctness.

If you encounter any difficulties or have further questions, feel free to reach out to our customer support team. We're here to help!",need update address
B,assistance talking to an agent,CONTACT,"We're listening! I'm keyed into the fact that you need assistance in talking to an agent. I'm here to help you with that. To connect with a live agent, please {{proceed to our website and click on the 'Contact Us' button / dial our customer support number / reach out to our live chat support}}. Our dedicated team is ready to assist you with any questions or concerns you may have. Feel free to let me know if you need any further guidance.",assistance talking agent
BCILQ,i have to see the ETA of order {{Order Number}} can ya help me,ORDER,"Thank you for contacting us! I understand that you would like assistance in checking the estimated time of arrival (ETA) for your order with order number {{Order Number}}. To provide you with accurate information, could you please provide me with your name or any other details associated with the order? This will help me locate the order in our system and provide you with the most up-to-date ETA.",see eta order ya help
BL,I'm having an issue with signing up for an account.,ACCOUNT,"I'm sorry to hear you're having an issue with signing up for an account. To help me assist you, could you please tell me what the issue is?",im issue signing account
BL,send me bill #37777,INVOICE,"Ah, the esteemed bill with the revered number {{Invoice Number}}! Worry not, for I am here to guide you through the process of obtaining this important document. Allow me a moment to retrieve the bill for you. In the meantime, if you have any other questions or concerns, feel free to let me know. I'm here to assist you every step of the way.",send bill
BKLMZ,correct details onPro account,ACCOUNT,"How exhilarating it is to embark on this remarkable journey of correcting the esteemed details encompassing your distinguished {{Account Type}} account!I am honored to provide you with the necessary guidance and support to navigate through this empowering experience. To ensure accuracy and security in making corrections to your account details, I highly recommend accessing your {{Account Type}} account settings directly through our secure {{Online Company Portal Info}}. There, you'll find the necessary options to update and modify your details with ease. Should you require further assistance or encounter any challenges along the way, our dedicated customer support team is just a message or call away. Together, let's ensure your {{Account Type}} account reflects the accurate and up-to-date information you desire.",correct detail onpro account
BLM,I want to input a new delivery location.,SHIPPING_ADDRESS,"I can help with that! To input a new delivery location, log into your account and go to the 'Addresses' section. You'll be able to add a new address there.",want input new delivery location
ML,I need assistance recovering my account.,ACCOUNT,"I can assist you with recovering your account. If you've forgotten your password, please use the 'Forgot Password' link on our login page. Enter your registered email, and you'll receive instructions to reset it.",need assistance recovering account
BCILQZ,i have to see how soon can i expect my package how to do ig,DELIVERY,"We understand your anticipation to know when your package will arrive. To track the estimated delivery time of your package, you can use our tracking service. Could you please provide us with the {{Tracking Number}} or {{Order Number}}? With that information, we can provide you with an accurate estimate of your package's arrival. We appreciate your patience and look forward to assisting you further.",see soon expect package ig
BL,I don't know what to do to cancel purchase {{Order Number}},ORDER,"I hear you loud and clear your uncertainty about canceling your purchase with the order number {{Order Number}}. Let me guide you through the process step by step:

1. Sign into Your Account: Begin by logging in to your {{Online Company Portal Info}} using your credentials.
2. Locate Your Order: Once logged in, navigate to the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section in your account.
3. Identify the Purchase: Look for the order number {{Order Number}} in the list of orders and click on it.
4. Initiate the Cancellation: Within the order details, you should find the option to '{{Online Order Interaction}}' associated with your purchase. Please select it.
5. Follow Any Further Steps: The system may prompt you with additional instructions to complete the cancellation process. Please follow them carefully.

Should you encounter any difficulties or have more questions along the way, our dedicated team is available to assist you. Feel free to reach out during {{Customer Support Hours}} by calling {{Customer Support Phone Number}} or using the Live Chat feature on our {{Website URL}}. Your satisfaction is our priority, and we're here to ensure a seamless experience.",dont know cancel purchase
BQ,Need to talk to a person ASAP.,CONTACT,I can help you connect with a person. What is the urgent matter you need to discuss?,need talk person asap
BIS,do you deliver to {{Delivery Country}}?,DELIVERY,"How wonderful that you're considering shipping to the beautiful country of {{Delivery Country}}! I'm thrilled to provide you with information on our delivery options for this destination. Rest assured, we do offer delivery services to {{Delivery Country}}, ensuring that your items reach you with utmost care and efficiency. Whether you choose our standard shipping, expedited shipping, or overnight shipping, we'll make sure your package arrives safely to your desired location in {{Delivery Country}}. If you have any specific concerns or questions regarding shipping to {{Delivery Country}} or anything else I can assist you with, please don't hesitate to let me know. It's my pleasure to help you navigate this shipping journey smoothly and effortlessly!",deliver
BL,changing data on premium account,ACCOUNT,"How intriguing it is to embark on the exhilarating journey of changing the data on your esteemed premium account!I am honored to guide you through this transformational process and ensure that your account reflects your evolving needs and aspirations. With our partnership, we will navigate through the details, addressing each aspect meticulously, securing your satisfaction and peace of mind throughout the journey. Please share with me the specific data you would like to modify, and together, we will make it a seamless experience.",changing data premium account
BILQ,where to lodge a consumer reclamation against ur company,FEEDBACK,"Certainly, I can assist you with lodging a consumer reclamation against our company. Our primary aim is to address your concerns and rectify any issues you may have encountered. To initiate the process, I recommend reaching out to our dedicated consumer reclamation department. They have the expertise and resources to handle your case effectively. You can find the contact information on our website under the ""Consumer Reclamation"" or ""Contact Us"" section. They will guide you through the necessary steps and ensure your complaint is thoroughly evaluated and addressed. Rest assured, we value your feedback and are committed to providing you with a satisfactory resolution. Please let me know if there's anything else I can assist you with during this process.",lodge consumer reclamation ur company
BMN,I don't want a cancellation fee when I cancel.,CANCELLATION_FEE,I understand your preference to avoid a cancellation fee. Whether a fee applies depends on the terms of your specific service or plan. Could you please provide details about your service so I can check if any fee is applicable?,dont want cancellation fee cancel
BIL,where to check your available payment options?,PAYMENT,"We're listening! I'm keyed into the fact that you're looking for information about where to check our available payment options. To access the list of payment methods we offer, you can visit our website and navigate to the 'Payment Options' or 'Checkout' section. There, you will find a detailed overview of the various payment methods we accept. If you need any further assistance or have any questions about a specific payment method, please feel free to let me know. I'm here to help you make informed decisions and ensure a smooth payment process.",check available payment option
BLMQ,i dont know how to check what methods for delivery are there,DELIVERY,"Ah, the journey of discovery! Allow me to guide you on how to explore the various delivery methods we offer. 

To check our delivery options, follow these simple steps:
1. Visit our website and navigate to the product page of the item you wish to purchase.
2. Look for the ""Shipping"" or ""Delivery"" section on the product page.
3. Click on the section to expand it and reveal the available delivery methods.
4. You will find detailed information about each delivery option, including estimated delivery times and any additional fees.
5. Once you've reviewed the options, you can select the one that best suits your needs.

If you encounter any difficulties or have further questions while exploring our delivery methods, please don't hesitate to reach out. We're here to provide you with the assistance you need. Happy exploring!",dont know check method delivery
BL,I want assistance to notify of an error with a registration,ACCOUNT,Thank you for reaching out to us for assistance regarding the error you encountered during the registration process. We understand the importance of a smooth registration experience and we apologize for any inconvenience caused. Could you please provide more details about the error you encountered? This will help us investigate further and provide you with the best possible solution. We appreciate your patience and we are committed to resolving this issue for you as quickly as possible.,want assistance notify error registration
BLP,I don't know how I could file a reclamation,FEEDBACK,"I'm sorry to hear that you're unsure about the process of filing a reclamation. I can assist you with that. To file a reclamation, you can reach out to our customer support team through the contact information provided on our website. They will guide you through the necessary steps and documentation required for the process. Rest assured, we take reclamation requests seriously and will ensure that your concern is addressed promptly and effectively. Is there anything else I can assist you with?",dont know could file reclamation
BLQ,i dont know what i need to do to chat with an agent,CONTACT,"Thank you for reaching out! I completely understand that you're unsure about what steps to take to chat with an agent. We're here to help guide you through the process. To initiate a chat with an agent, you can usually find a chat icon or button on our website. It might be located in the lower right corner or labeled as ""Chat"" or ""Support."" Click on the chat icon or button, and you'll be connected to one of our knowledgeable agents who will be more than happy to assist you. If you're having trouble locating the chat option, please let me know, and I'll provide you with more specific instructions. We appreciate your patience and look forward to helping you with your queries!",dont know need chat agent
BELQ,i cannot set up my new shipping address,SHIPPING_ADDRESS,"I understand the frustration you're experiencing while trying to set up your new shipping address. Let's work together to overcome this roadblock. Here are a few things you can try to troubleshoot the issue:

1. Double-check the format: Ensure that you're entering the address in the correct format, including all the necessary details such as street number, street name, city, state, and ZIP code.

2. Clear cache and cookies: Sometimes, browser cache and cookies can interfere with the submission process. Try clearing your cache and cookies, then refresh the page and attempt to set up the shipping address again.

3. Use a different browser or device: It's possible that the issue is specific to the browser or device you're using. Switch to a different browser or device, and see if you can successfully set up your new shipping address.

4. Contact customer support: If none of the above steps resolve the issue, it's best to reach out to our dedicated customer support team. They have the expertise to investigate the problem further and provide personalized assistance to set up your new shipping address.

Remember, your satisfaction is our priority, and we're committed to helping you successfully set up your new shipping address.",set new shipping address
BL,give me information about the deletion of a {{Account Type}} account,ACCOUNT,"Grateful you reached out about canceling your {{Account Type}} account. I understand that you would like more information about the deletion process. We have a dedicated team that can assist you with this request. To initiate the deletion of your {{Account Type}} account, please contact our customer support team at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. They will guide you through the necessary steps and provide any additional information you may need. Rest assured, our goal is to make this process as smooth as possible for you.",give information deletion account
I,How do I reach a person?,CONTACT,You can reach a person by clicking on the 'Chat with Us' button on our website or by calling our customer service line at [Phone Number].,reach person
BIQS,can i order from {{Delivery Country}},DELIVERY,"I'm on it! We have good news for you. You can absolutely place an order with us from {{Delivery Country}}. We offer international shipping to various countries, including {{Delivery Country}}. So go ahead and explore our wide range of products with the confidence of being able to order from the comfort of your home. If you have any specific questions or require further assistance with the ordering process, feel free to let me know. Our team is here to ensure a seamless shopping experience for you!",order
BL,What's the delivery period for standard shipping?,DELIVERY,"Our standard shipping delivery period typically ranges from 5 to 7 business days for domestic orders. Please note that this can vary slightly depending on your location and any potential delays with the carrier. For a more specific estimate, please provide your order number.",whats delivery period standard shipping
BL,I don't know what I need to do to download my bill #12588,INVOICE,"I'm on the same wavelength, your uncertainty about the process for downloading your bill with the number #{{Invoice Number}}. Allow me to provide you with step-by-step instructions to make it easier for you. First, log in to your account on our website. Then, navigate to the ""Billing"" or ""Invoices"" section. Look for the specific invoice with the number #{{Invoice Number}} and click on the download button next to it. The invoice will then be downloaded to your device. If you encounter any difficulties or have further questions, feel free to let me know. I'm here to help you every step of the way.",dont know need download bill
LM,What is the cost to end my contract early?,CANCELLATION_FEE,The cost to end your contract early depends on the specific contract terms. Please provide the type of contract you have so I can check the applicable fees.,cost end contract early
BIL,how to use the {{Account Category}} profile?,ACCOUNT,"Unquestionably! I appreciate your interest in utilizing the remarkable features of our esteemed {{Account Category}} profile. Allow me to guide you through the steps to make the most of its benefits:

1. Access Your Account: Begin by logging into our platform using your credentials.
2. Account Navigation: Once inside, locate the '{{Settings}}' or '{{Profile}}' section.
3. Profile Management: Within these sections, you'll find options related to managing your account type.
4. Upgrade Option: Identify an option that reads '{{Upgrade Account}}' or '{{Account Change}}'.
5. {{Account Category}} Selection: Choose the '{{Profile Type}}' option from the available account types.
6. Confirm and Save: Follow the on-screen prompts to confirm your account selection and save the changes.

If you encounter any challenges or have further inquiries, please don't hesitate to reach out. I'm excited to assist you in making the most of your {{Account Category}} profile and its exclusive advantages.",use profile
BCLZ,"I need to check your reimbursement policy , help me",REFUND,"I'll take care of it! I understand your need to review our reimbursement policy and I'm here to provide you with all the necessary information. Our reimbursement policy aims to protect the interests of our valued customers. Here are the key points to note:

1. **Product/Service Defect:** If you receive a product or service that is defective or doesn't match the description provided, you may be eligible for a reimbursement.

2. **Cancellation within Grace Period:** Should you change your mind about a purchase and decide to cancel within the specified grace period, you should be able to request a reimbursement.

3. **Unauthorized Charges:** In the unfortunate event of unauthorized charges appearing on your account, please notify us immediately. We will investigate the issue and assist you in resolving it, including the possibility of a reimbursement.

4. **Event Cancellation:** If an event you purchased tickets for gets canceled without a rescheduled date, you may be entitled to a reimbursement for the cost of the tickets.

5. **Duplicate Charges:** If you notice duplicate charges for the same item on your statement, please reach out to us. We will rectify the issue and ensure you receive the appropriate reimbursement.

6. **Non-receipt of Goods:** If you haven't received the product you ordered within the expected timeframe, please inform us. We will look into the matter and, if necessary, initiate the process for a reimbursement.

Please keep in mind that each situation may be subject to review and verification. It's recommended to reach out to our customer support team with specific details related to your order or situation, such as the order number or any other relevant information. They will be able to provide you with personalized assistance based on your specific circumstances.

I hope this overview of our reimbursement policy has been helpful. If you have any further questions or need clarification on any aspect, please don't hesitate to ask. We're here to help you and ensure your satisfaction.",need check reimbursement policy help
BCIL,"I have to change to the platinum account, how do I do it?",ACCOUNT,"I'll take care of it! I'm thrilled to assist you in making the transition to our prestigious {{Account Category}} account. Together, we'll explore the seamless steps towards a truly elevated experience:

1. **Access Your Account:** Begin by logging into our platform, using your existing login credentials.
2. **Account Settings:** Once you're logged in, navigate to your account settings by clicking on your profile icon or username.
3. **Upgrade Options:** Within the account settings, locate the section specifically related to account upgrades or premium memberships.
4. **Upgrade to {{Account Category}}:** Look out for the option to switch or upgrade to the {{Account Category}} account type.
5. **Confirmation and Benefits:** Follow the on-screen prompts to confirm your decision and embrace the exceptional benefits that come with your new {{Account Category}} account.

If you encounter any difficulties or have further questions along the way, please don't hesitate to reach out. I'm here to support you throughout this exciting upgrade. Enjoy exploring the remarkable features of our {{Account Category}} account!""",change platinum account
BCIL,How do I order something from your website?,ORDER,"To order from our website, please add the items you want to your cart and proceed to checkout. You'll then enter your shipping and payment details to complete the order.",order something website
BLK,Update shipping address required.,SHIPPING_ADDRESS,"Understood. To update your shipping address, please provide the new address details.",update shipping address required
BIL,how do I obtain a rebate of money?,REFUND,"I've noticed that you are looking for guidance on how to obtain a rebate of money. Obtaining a rebate is typically a straightforward process. To initiate a refund, it's essential to follow the specific steps outlined by the company or service provider. These steps may vary depending on the nature of the purchase or the company's refund policy. To proceed, I recommend reaching out to the customer support team of the company you made the purchase from. They will be able to provide you with precise instructions on how to request a rebate. It's important to have any necessary documentation related to the purchase, such as the receipt or order number, readily available when contacting customer support. By providing them with all the required information, they will be able to assist you efficiently and ensure a smooth refund process. Remember, it's always beneficial to approach the support team with a calm and polite attitude, as they are dedicated to helping resolve any issues you might encounter. If you have any further questions or need additional assistance, please feel free to let me know!",obtain rebate money
BL,assistance to set my new shipping address up,SHIPPING_ADDRESS,"I'm attuned to the idea that you're seeking assistance in setting up your new shipping address, and I'm here to guide you through the process. To set up your new shipping address, please follow these steps:

1. Log in to your account on our website.
2. Navigate to your account settings or profile section.
3. Look for the ""Shipping Addresses"" or ""Delivery Addresses"" option.
4. Select the ""Add New Address"" or ""Add Shipping Address"" button.
5. Fill in the necessary details, such as the recipient's name, street address, city, state, and ZIP code.
6. Double-check the accuracy of the entered information to ensure proper delivery.
7. Save the changes or confirm the new shipping address.

If you encounter any issues or have further questions during the process, please don't hesitate to reach out, and I'll be more than happy to assist you further.",assistance set new shipping address
BLW,help to check your damn money back guarantee,REFUND,"Definitely! I understand the importance of having a clear understanding of our money-back guarantee. Our policy aims to provide you with an assurance that if you encounter any issues or if you are unsatisfied with our product or service, we will happily refund your purchase. However, it's essential to review the specific terms and conditions associated with your purchase or the service vendor to determine the exact circumstances and eligibility criteria for a refund. Rest assured, we are committed to ensuring your satisfaction and will assist you every step of the way. If you have any specific concerns or questions regarding a refund, please provide me with the necessary details, such as the purchase or order number, and I will gladly look into it for you.",help check damn money back guarantee
BILZ,can I check at what time I can call custoer assistance?,CONTACT,Thank you for getting in touch! I understand that you would like to check the operating hours for reaching our customer assistance team. Our dedicated team is available to assist you during {{Customer Support Hours}}. You can contact us through {{Customer Support Phone Number}} or via the Live Chat on our website at {{Website URL}}. Feel free to reach out if you have any other questions or concerns. We are here to help!,check time call custoer assistance
BLZ,show me the allowed paymeny modalities,PAYMENT,"I'll take care of it! I'm here to provide you with all the information you need about our accepted payment options. Our company offers a range of convenient and secure payment methods to ensure a seamless shopping experience for our valued customers. Here are some of the allowed payment modalities:

1. Credit/Debit Card: We accept major cards such as Visa, Mastercard, and American Express. Just enter your card details during checkout, and you're good to go!

2. PayPal: A widely recognized and secure online payment platform, which allows you to make purchases using your PayPal account. Simply select the PayPal option at checkout and log in to your PayPal account to complete the payment.

3. Bank Transfer: This option allows you to transfer funds directly from your bank account to ours. You can find our bank account information on the checkout page. Please note that it may take a few business days for the transfer to be processed.

4. Mobile Payment: We also accept various mobile payment methods such as Apple Pay and Google Pay. These options provide a quick and convenient way to make payments using your mobile device.

These are just a few examples of the payment modalities we offer. If you have any specific questions or need assistance with a particular payment method, please let me know. We're here to help make your shopping experience as smooth as possible!",show allowed paymeny modality
BL,What is the fee for cancelling my subscription early?,CANCELLATION_FEE,The fee for cancelling your subscription early depends on your plan and contract terms. Please check your account settings or consult your service agreement for details.,fee cancelling subscription early
BLQ,wanna send feedback about a service,FEEDBACK,"Thank you for choosing to send feedback about our service! Your thoughts and insights are incredibly valuable to us as we constantly strive to enhance the quality and experience of our services. Please provide us with the details of your feedback, whether it's a compliment, suggestion, or concern. Your feedback will be carefully reviewed and acted upon to ensure we're meeting your expectations. Let me know how I can assist you further in this process.",wan na send feedback service
BLM,assistance reporting problems with signup,ACCOUNT,"Thank you for your message to us to seek assistance in reporting problems with the signup process. We understand how frustrating it can be to encounter issues while signing up, and we're here to help you overcome these challenges. In order to provide you with the best support possible, could you please provide more details about the specific problems you are facing? This will enable us to analyze the situation thoroughly and offer you the most appropriate solution. Rest assured, we are committed to resolving any obstacles you may be experiencing and ensuring a smooth and seamless signup process for you.",assistance reporting problem signup
BLQ,I want to leave a review for the product I received.,FEEDBACK,Thank you for wanting to leave a review! We'd love to hear about your experience with the product. Please share your thoughts.,want leave review product received
BLQ,i dont know what i need to do to download my bill #00108,INVOICE,"I'm fully aware of your confusion about how to download your bill with the number #{{Invoice Number}}. Let me guide you through the process! First, log in to your account on our website. Then, navigate to the ""Billing"" or ""Invoices"" section, where you should be able to find a list of your bills. Look for the bill with the number #{{Invoice Number}} and click on the download button next to it. If you encounter any difficulties or have further questions, please feel free to reach out. I'm here to help you every step of the way!",dont know need download bill
